date,game,player,L,T,edge,hr,status,pick,stake
"April 29, 2026",ORL@DET,Paolo Banchero,23.0,18,5.0,76,ACTIVE,UNDER 23.0,50.0
"April 29, 2026",ORL@DET,Cade Cunningham,25.0,20,5.0,76,ACTIVE,UNDER 25.0,50.0
"April 29, 2026",ORL@DET,Desmond Bane,20.0,16,4.0,76,ACTIVE,UNDER 20.0,50.0
"April 29, 2026",ORL@DET,Jaden Ivey,18.0,14,4.0,70,ACTIVE,UNDER 18.0,50.0
"April 29, 2026",ORL@DET,Jalen Suggs,12.0,9,3.0,70,ACTIVE,UNDER 12.0,50.0
"April 29, 2026",ORL@DET,Wendell Carter Jr.,11.0,8,3.0,70,ACTIVE,UNDER 11.0,50.0
"April 29, 2026",ATL@NYK,Trae Young,24.0,19,5.0,76,ACTIVE,UNDER 24.0,50.0
"April 29, 2026",ATL@NYK,Jalen Brunson,26.0,21,5.0,76,ACTIVE,UNDER 26.0,50.0
"April 29, 2026",ATL@NYK,Jalen Johnson,18.0,14,4.0,70,ACTIVE,UNDER 18.0,50.0
"April 29, 2026",ATL@NYK,OG Anunoby,17.0,13,4.0,70,ACTIVE,UNDER 17.0,50.0
"April 29, 2026",ATL@NYK,Karl-Anthony Towns,19.0,15,4.0,76,ACTIVE,UNDER 19.0,50.0
"April 29, 2026",ATL@NYK,Dyson Daniels,13.0,10,3.0,70,ACTIVE,UNDER 13.0,50.0
"April 29, 2026",HOU@LAL,LeBron James,23.0,18,5.0,76,ACTIVE,UNDER 23.0,50.0
"April 29, 2026",HOU@LAL,Austin Reaves,19.0,14,5.0,70,Q,UNDER 19.0,50.0
